id,ANY,MORTGAGE,OWN,RENT,annual_inc,emp_length,installment,loan_amnt,term,int_rate,avg_cur_bal,inq_last_12m,max_bal_bc,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,num_bc_tl,num_il_tl,num_op_rev_tl,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,percent_bc_gt_75,pub_rec_bankruptcies,total_acc,total_bal_ex_mort,loan_status
96352348,0,1,0,0,81000.0,8,503.16,16000,36,0.0824,12658.0,4.0,12203.0,207.0,202.0,31.0,5.0,3.0,50.0,12.0,36.0,11.0,0.0,2.0,18,71.4,0,66,131604.0,1
113009795,0,1,0,0,53100.0,10,162.73,4900,36,0.1199,3150.0,2.0,1990.0,81.0,66.0,10.0,10.0,1.0,31.0,2.0,16.0,5.0,0.0,6.0,20,100.0,0,22,62991.0,1
130793408,0,1,0,0,120000.0,10,578.62,19000,36,0.0607,30956.0,3.0,6440.0,162.0,268.0,58.0,8.0,3.0,12.0,9.0,13.0,6.0,0.0,1.0,13,0.0,0,32,70490.0,1
71955425,0,0,0,1,60000.0,10,170.09,5000,36,0.1367,2837.0,4.0,1040.0,108.0,156.0,1.0,1.0,2.0,6.0,7.0,11.0,5.0,2.0,3.0,7,50.0,0,30,19861.0,1
115148149,0,0,0,1,195000.0,10,389.58,12000,36,0.1042,4006.0,2.0,10639.0,142.0,384.0,2.0,2.0,1.0,30.0,10.0,7.0,10.0,0.0,2.0,11,0.0,0,30,40057.0,1
91556680,0,0,0,1,25000.0,10,164.93,4500,36,0.1899,3595.0,1.0,1369.0,114.0,110.0,15.0,5.0,1.0,23.0,5.0,5.0,8.0,0.0,3.0,11,80.0,0,16,14794.0,1
98227426,0,1,0,0,76000.0,1,314.48,10000,36,0.0824,10193.0,6.0,4378.0,155.0,229.0,50.0,5.0,2.0,4.0,7.0,27.0,5.0,1.0,2.0,16,50.0,0,43,95652.0,1
134730577,0,1,0,0,116000.0,10,544.19,25000,60,0.1105,9456.0,7.0,23162.0,197.0,151.0,25.0,7.0,5.0,7.0,16.0,15.0,20.0,0.0,1.0,22,30.8,0,47,114922.0,0
138378780,0,1,0,0,75000.0,2,584.79,18000,36,0.1047,51502.0,0.0,2302.0,238.0,92.0,32.0,4.0,2.0,3.0,4.0,20.0,1.0,0.0,1.0,6,0.0,0,32,87597.0,1
67725849,0,1,0,0,56000.0,6,406.72,13000,36,0.0789,8836.0,2.0,9614.0,138.0,146.0,10.0,10.0,1.0,11.0,19.0,13.0,12.0,0.0,2.0,17,33.3,0,53,33318.0,1
85513890,0,1,0,0,64000.0,10,551.82,18075,60,0.2699,10475.0,4.0,7083.0,196.0,131.0,4.0,1.0,2.0,32.0,15.0,26.0,7.0,0.0,9.0,14,50.0,0,44,65901.0,0
73805281,0,1,0,0,133000.0,2,200.23,6400,36,0.0789,9645.0,2.0,6966.0,137.0,154.0,78.0,24.0,1.0,41.0,4.0,11.0,2.0,0.0,0.0,4,0.0,0,17,38578.0,1
145517015,0,1,0,0,106000.0,10,289.02,8400,36,0.1447,26157.0,2.0,4092.0,110.0,137.0,5.0,5.0,2.0,48.0,4.0,8.0,9.0,0.0,4.0,15,75.0,0,21,70028.0,1
113875152,0,1,0,0,45000.0,5,271.84,8000,36,0.1359,13386.0,2.0,3310.0,161.0,230.0,8.0,3.0,2.0,7.0,7.0,4.0,7.0,0.0,2.0,12,50.0,0,19,23623.0,0
131978474,0,0,0,1,45000.0,1,527.43,15000,36,0.1601,18653.0,1.0,4356.0,116.0,107.0,27.0,3.0,0.0,12.0,4.0,28.0,8.0,2.0,1.0,10,50.0,0,39,149221.0,1
125363781,0,0,1,0,270000.0,10,838.91,40000,60,0.0944,92783.0,3.0,9670.0,73.0,331.0,3.0,3.0,8.0,63.0,5.0,5.0,4.0,0.0,3.0,9,25.0,0,23,74024.0,1
68528997,0,0,0,1,120000.0,10,432.22,14000,36,0.0699,3631.0,0.0,1353.0,165.0,141.0,10.0,10.0,5.0,6.0,3.0,12.0,6.0,0.0,1.0,13,0.0,0,28,43577.0,1
73785507,0,1,0,0,62400.0,1,318.75,10000,36,0.0916,46548.0,2.0,4890.0,137.0,175.0,29.0,4.0,1.0,42.0,5.0,5.0,3.0,0.0,1.0,6,0.0,2,12,43172.0,1
71734322,0,1,0,0,125000.0,10,378.2,12000,36,0.0839,40275.0,5.0,4664.0,95.0,183.0,6.0,1.0,8.0,74.0,11.0,9.0,5.0,0.0,4.0,7,0.0,0,38,35518.0,1
88932822,0,0,0,1,72000.0,5,494.27,12600,36,0.2399,10571.0,2.0,762.0,133.0,167.0,13.0,6.0,1.0,17.0,4.0,33.0,7.0,0.0,3.0,11,50.0,0,43,116277.0,1
124053417,0,1,0,0,112000.0,6,304.59,10000,36,0.0608,3154.0,1.0,7665.0,124.0,262.0,4.0,4.0,0.0,73.0,9.0,7.0,15.0,0.0,3.0,18,14.3,0,31,53623.0,1
124042210,0,0,0,1,40000.0,1,513.25,15000,36,0.1408,3778.0,1.0,0.0,110.0,113.0,24.0,24.0,0.0,22.0,5.0,8.0,5.0,4.0,0.0,11,0.0,0,22,41557.0,1
121370953,0,0,0,1,64000.0,10,56.86,1500,36,0.2145,1945.0,2.0,4835.0,41.0,113.0,9.0,5.0,0.0,36.0,10.0,5.0,13.0,0.0,3.0,15,14.3,0,23,29169.0,1
85602152,0,0,0,1,38000.0,2,327.34,10000,36,0.1099,1581.0,3.0,2333.0,120.0,167.0,14.0,14.0,0.0,10.0,2.0,4.0,5.0,1.0,0.0,7,50.0,0,12,7906.0,1
88931124,0,0,0,1,50000.0,5,194.18,4950,36,0.2399,2600.0,4.0,569.0,103.0,106.0,2.0,2.0,0.0,43.0,9.0,3.0,7.0,0.0,7.0,9,0.0,0,15,23402.0,1
131973995,0,1,0,0,75000.0,2,345.77,15000,60,0.1358,28338.0,3.0,2681.0,175.0,243.0,2.0,2.0,4.0,18.0,4.0,4.0,3.0,0.0,4.0,7,0.0,0,14,7436.0,0
89003262,0,0,0,1,56000.0,3,85.86,2375,36,0.1799,1129.0,5.0,889.0,43.0,150.0,6.0,6.0,1.0,65.0,11.0,1.0,8.0,0.0,4.0,9,16.7,0,15,10161.0,1
73333822,0,1,0,0,150000.0,9,931.68,30000,36,0.0739,26775.0,0.0,20926.0,173.0,326.0,15.0,14.0,3.0,77.0,6.0,9.0,7.0,0.0,0.0,9,16.7,0,20,34611.0,1
87994765,0,1,0,0,58000.0,6,259.99,8000,36,0.1049,13203.0,2.0,230.0,131.0,84.0,1.0,1.0,4.0,3.0,3.0,14.0,13.0,0.0,5.0,16,0.0,0,31,33664.0,1
68398837,0,1,0,0,172000.0,10,466.53,15000,36,0.0749,31855.0,2.0,14928.0,179.0,468.0,15.0,5.0,9.0,26.0,9.0,9.0,9.0,0.0,2.0,15,16.7,0,31,51692.0,1
126108979,0,1,0,0,105000.0,10,311.49,12000,60,0.1903,21344.0,6.0,3501.0,91.0,185.0,2.0,2.0,4.0,24.0,12.0,10.0,4.0,0.0,4.0,6,33.3,1,35,18207.0,1
155927821,0,1,0,0,103000.0,1,1202.61,36000,36,0.124,5105.0,0.0,15032.0,167.0,284.0,24.0,24.0,2.0,20.0,8.0,7.0,7.0,0.0,0.0,13,85.7,0,18,66367.0,1
87954812,0,1,0,0,55000.0,7,280.26,8500,36,0.1149,36115.0,7.0,3744.0,48.0,96.0,4.0,4.0,1.0,21.0,5.0,4.0,5.0,0.0,3.0,8,66.7,0,11,56272.0,1
141875900,0,1,0,0,73000.0,8,722.75,20000,36,0.1797,21875.0,3.0,225.0,145.0,144.0,8.0,5.0,1.0,34.0,3.0,30.0,1.0,0.0,3.0,11,0.0,1,36,38326.0,1
118168319,0,0,0,1,48000.0,6,104.07,3000,36,0.1505,3895.0,13.0,519.0,67.0,42.0,8.0,7.0,0.0,41.0,5.0,7.0,3.0,0.0,5.0,6,0.0,0,15,23368.0,1
90179093,0,1,0,0,59000.0,8,593.49,18000,36,0.1149,16635.0,2.0,4874.0,109.0,219.0,2.0,2.0,1.0,31.0,9.0,5.0,7.0,0.0,3.0,11,33.3,0,18,48668.0,1
90087941,0,1,0,0,53200.0,10,232.43,5925,36,0.2399,27922.0,6.0,6690.0,164.0,220.0,5.0,4.0,5.0,26.0,11.0,7.0,6.0,0.0,5.0,10,33.3,0,28,48558.0,1
